name,commune,address,postal_code,phone,email,production_type
GAEC Vénéjan de Provence,Vénéjan,12 route du Village,30200,0607938396,gaecvénéjandeprovence@ferme.fr,Plantes aromatiques
Ferme Issirac des Garrigues,Issirac,37 chemin de la Plaine,30760,0694821774,fermeissiracdesgarrigues@ferme.fr,Plantes aromatiques
Mas Laval des Oliviers,Laval-Saint-Roman,74 chemin du Rhône,30760,0689259712,maslavaldesoliviers@ferme.fr,Plantes aromatiques
Mas Pont des Garrigues,Pont-Saint-Esprit,5 chemin de la Plaine,30130,0653767224,maspontdesgarrigues@ferme.fr,Arboriculture
Ferme Lirac de Provence,Lirac,72 chemin du Rhône,30126,0603597443,fermeliracdeprovence@ferme.fr,Apiculture
GAEC Cavillargues du Rhône,Cavillargues,140 chemin des Vignes,30330,0670095713,gaeccavillarguesdurhône@ferme.fr,Viticulture
Mas Goudargues des Oliviers,Goudargues,1 chemin de la Garrigue,30630,0661177758,masgoudarguesdesoliviers@ferme.fr,Oléiculture
Clos Montclus du Soleil,Montclus,82 route des Oliviers,30630,0678747659,closmontclusdusoleil@ferme.fr,Élevage bovin
Mas Saint de Provence,Saint-Nazaire,38 route des Oliviers,30200,0692294658,massaintdeprovence@ferme.fr,Élevage bovin
EARL Lirac de Provence,Lirac,42 chemin des Vignes,30126,0623455951,earlliracdeprovence@ferme.fr,Élevage ovin
Ferme Codolet du Soleil,Codolet,60 chemin de la Garrigue,30200,0619638933,fermecodoletdusoleil@ferme.fr,Apiculture
Les Jardins Connaux de Provence,Connaux,85 chemin du Mas,30330,0668999753,lesjardinsconnauxdeprovence@ferme.fr,Maraîchage
EARL Tresques du Rhône,Tresques,25 route du Village,30330,0660354956,earltresquesdurhône@ferme.fr,Arboriculture
Mas Roquemaure des Oliviers,Roquemaure,130 route du Village,30150,0603723324,masroquemauredesoliviers@ferme.fr,Viticulture
Les Jardins Lirac de Provence,Lirac,22 chemin des Vignes,30126,0649191109,lesjardinsliracdeprovence@ferme.fr,Apiculture
Les Jardins Saint de Provence,Saint-Laurent-des-Arbres,100 chemin de la Garrigue,30126,0636614086,lesjardinssaintdeprovence@ferme.fr,Élevage bovin
Domaine Aiguèze du Rhône,Aiguèze,85 chemin de la Garrigue,30760,0650832496,domaineaiguèzedurhône@ferme.fr,Viticulture
GAEC Saint du Soleil,Saint-Paulet-de-Caisson,65 chemin des Vignes,30130,0633319735,gaecsaintdusoleil@ferme.fr,Oléiculture
Mas Issirac des Garrigues,Issirac,114 chemin du Rhône,30760,0675355162,masissiracdesgarrigues@ferme.fr,Viticulture
Domaine Cornillon des Garrigues,Cornillon,17 chemin de la Garrigue,30630,0639645306,domainecornillondesgarrigues@ferme.fr,Élevage bovin
Ferme Cornillon des Oliviers,Cornillon,75 route du Village,30630,0646580253,fermecornillondesoliviers@ferme.fr,Élevage caprin
GAEC Saint des Oliviers,Saint-André-de-Roquepertuis,146 chemin de la Plaine,30630,0697573582,gaecsaintdesoliviers@ferme.fr,Plantes aromatiques
